mode,m,call_count,experts,hidden_size,intermediate_size,topk,group_size,gems_us,native_us,speedup
cudagraph,32,172,256,4096,256,6,128,1348.7121994430952,1640.039975525903,1.2160044049450294
cudagraph,40,172,256,4096,256,6,128,1608.1870909660095,1962.3127746582031,1.2202017947299133
cudagraph,48,172,256,4096,256,6,128,1730.889839038514,2133.9229827231547,1.2328473682117866
cudagraph,56,172,256,4096,256,6,128,1836.745580037435,2275.778683749112,1.2390277175474294
cudagraph,64,172,256,4096,256,6,128,1927.7572631835938,2393.2736094405013,1.241480789696588
cudagraph,72,172,256,4096,256,6,128,2074.9154090881348,2586.2367529618114,1.2464299708962052
cudagraph,80,172,256,4096,256,6,128,2075.778802235921,2579.4594413355776,1.242646585733084
cudagraph,88,172,256,4096,256,6,128,2171.1734274159307,2732.6883739895293,1.2586227979226412
cudagraph,96,172,256,4096,256,6,128,2105.4148572556514,2652.2767350480362,1.259740675766487
cudagraph,104,172,256,4096,256,6,128,2244.074994867498,2815.7822745186945,1.254763000772598
cudagraph,112,172,256,4096,256,6,128,2340.781893048968,2937.9472443551726,1.2551136238192495
cudagraph,120,172,256,4096,256,6,128,2272.767000420149,2852.78799874442,1.255204778235977
cudagraph,128,172,256,4096,256,6,128,2334.9376860119046,2925.4294002757356,1.2528939927610643
cudagraph,136,172,256,4096,256,6,128,2301.1427591013353,2922.7511462043312,1.2701303014097884
cudagraph,144,172,256,4096,256,6,128,2345.6828707740424,2971.9309951319838,1.2669790243858876
cudagraph,152,172,256,4096,256,6,128,2357.992808024089,2960.2478489731297,1.2554100414978402
cudagraph,160,172,256,4096,256,6,128,2392.1458546708272,3018.873272520123,1.261993814727295
cudagraph,168,172,256,4096,256,6,128,2378.1747363862537,3026.321179939039,1.2725394537399188
cudagraph,176,172,256,4096,256,6,128,2421.9848818895293,3058.6031675338745,1.2628498180994765
cudagraph,184,172,256,4096,256,6,128,2414.4092652855848,3150.0587463378906,1.3046912930750747
cudagraph,192,172,256,4096,256,6,128,2424.9512276998375,3129.3087005615234,1.2904625317061724
cudagraph,200,172,256,4096,256,6,128,2427.064383902201,3196.8463774650327,1.317165872759085
cudagraph,208,172,256,4096,256,6,128,2446.2050437927246,3214.472247708228,1.3140649251235057
cudagraph,216,172,256,4096,256,6,128,2459.9799156188965,3305.392710367839,1.3436665435279573
cudagraph,224,172,256,4096,256,6,128,2451.513957977295,3307.7546437581386,1.349270165480646
cudagraph,232,172,256,4096,256,6,128,2459.39998626709,3362.4896345467405,1.3671991759463138
cudagraph,240,172,256,4096,256,6,128,2441.625022888184,3447.105539256129,1.4118079176541891
cudagraph,248,172,256,4096,256,6,128,2445.6839561462402,3496.283667428153,1.4295729661396575
cudagraph,256,172,256,4096,256,6,128,2452.9600143432617,3456.432474070582,1.4090863503113331
cudagraph,272,172,256,4096,256,6,128,2466.259479522705,3634.407467312283,1.473651697028915
cudagraph,288,172,256,4096,256,6,128,2469.76900100708,3742.5462282620947,1.5153426197899573
cudagraph,304,172,256,4096,256,6,128,2472.4879264831543,3916.006469726563,1.5838323931865086
cudagraph,320,172,256,4096,256,6,128,2477.0350456237793,3974.551239013672,1.6045599540610378
